playlist_url,year,track_id,track_name,album,artist_id,artist_name,artist_genres,track_popularity,artist_popularity,primary_genre,genre_grouped,genre_list,genre_grouped2
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,3AJwUDP919kvQ9QcozQPxg,Yellow,Parachutes,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,"['permanent wave', 'pop']",91,86,permanent wave,Other,"['permanent wave', 'pop']",pop
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,Enema Of The State,6FBDaR13swtiWwGhX1WQsP,blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",84,75,alternative metal,alternative metal,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",modern rock
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,3y4LxiYMgDl4RethdzpmNe,Breathe,Breathe,25NQNriVT2YbSW80ILRWJa,Faith Hill,"['contemporary country', 'country', 'country dawn', 'country road']",69,61,contemporary country,Other,"['contemporary country', 'country', 'country dawn', 'country road']",country
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,60a0Rd6pjrkxjPbaKzXjfq,In the End,Hybrid Theory (Bonus Edition),6XyY86QOPPrYVGvF9ch6wz,Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",88,83,alternative metal,alternative metal,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",rock
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye,No Strings Attached,6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,"['boy band', 'dance pop', 'pop']",74,65,boy band,boy band,"['boy band', 'dance pop', 'pop']",dance pop
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,5Mmk2ii6laakqfeCT7OnVD,Thong Song,Unleash The Dragon,6x9QLdzo6eBZxJ1bHsDkjg,Sisqo,"['contemporary r&b', 'dirty south rap', 'hip pop', 'r&b', 'urban contemporary']",73,56,contemporary r&b,Other,"['contemporary r&b', 'dirty south rap', 'hip pop', 'r&b', 'urban contemporary']",hip pop
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,The Marshall Mathers LP,7dGJo4pcD2V6oG8kP0tJRR,Eminem,"['detroit hip hop', 'hip hop', 'rap']",88,88,detroit hip hop,Other,"['detroit hip hop', 'hip hop', 'rap']",hip hop
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,7oQSevUCbYs4QawXTHQVV1,Rock DJ,Sing When You're Winning,2HcwFjNelS49kFbfvMxQYw,Robbie Williams,"['dance rock', 'europop']",57,69,dance rock,Other,"['dance rock', 'europop']",pop
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,7H6ev70Weq6DdpZyyTmUXk,Say My Name,The Writing's On The Wall,1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,"['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']",80,69,dance pop,dance pop,"['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']",dance pop
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,64BbK9SFKH2jk86U3dGj2P,Otherside,Californication (Deluxe Edition),0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",83,80,alternative rock,Other,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",rock
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,The Better Life,2RTUTCvo6onsAnheUk3aL9,3 Doors Down,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",82,69,alternative metal,alternative metal,"['alternative metal', 'nu metal', 'post-grunge', 'rock']",rock
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre,2001,6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",82,78,g funk,Other,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",hip hop
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,49X0LAl6faAusYq02PRAY6,Lady - Hear Me Tonight,Modjo (Remastered),0AkpPlFLnr0VQwZQeMGht0,Modjo,"['disco house', 'filter house']",79,58,disco house,Other,"['disco house', 'filter house']",edm
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,5XVjNRubJUW0iPhhSWpLCj,Better Off Alone,Who Needs Guitars Anyway?,2tbvDi9eXf9XXp06LupkED,Alice Deejay,"['bouncy house', 'eurodance']",79,58,bouncy house,Other,"['bouncy house', 'eurodance']",edm
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,2avKuMN2QXkaG9vvHa2JLt,Take A Look Around,Chocolate Starfish And The Hot Dog Flavored Water,165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",77,73,alternative metal,alternative metal,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",rock
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,52LJ3hyknOijCrE5gCD0rE,L'Amour Toujours,L'Amour Toujours,1OAjDaKgg00KCUYqDe68un,Gigi D'Agostino,"['eurodance', 'italo dance']",77,66,eurodance,Other,"['eurodance', 'italo dance']",other
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,25FTMokYEbEWHEdss5JLZS,Teenage Dirtbag,Wheatus,4mYFgEjpQT4IKOrjOUKyXu,Wheatus,[],76,58,,Other,[],other
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,35o9a4iAfLl5jRmqMX9c1D,Shape of My Heart,Black & Blue,5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,"['boy band', 'dance pop', 'pop']",74,73,boy band,boy band,"['boy band', 'dance pop', 'pop']",dance pop
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,7m97yKVzPpXV9Z4ezEziOD,Big Pimpin',Vol. 3... Life And Times Of S. Carter,3nFkdlSjzX9mRTtwJOzDYB,JAY-Z,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",74,82,east coast hip hop,Other,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",hip hop
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,0LWkaEyQRkF0XAms8Bg1fC,Party Up,...And Then There Was X,1HwM5zlC5qNWhJtM00yXzG,DMX,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",73,68,east coast hip hop,Other,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",hip hop
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,4pmc2AxSEq6g7hPVlJCPyP,"Jumpin', Jumpin'",The Writing's On The Wall,1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,"['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']",73,69,dance pop,dance pop,"['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary']",dance pop
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,6Sy9BUbgFse0n0LPA5lwy5,Sandstorm,"Before the Storm, Special Edition",0LhHRmSd1EYM5QdNeNnCoQ,Darude,"['eurodance', 'finnish edm']",73,57,eurodance,Other,"['eurodance', 'finnish edm']",edm
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,0gPQTLaqHDgdupKEok7J2x,7 Days,Born to Do It,2JyWXPbkqI5ZJa3gwqVa0c,Craig David,['british soul'],73,62,british soul,Other,['british soul'],r&b
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,6qc34bnVOyqGDPni8H5W0U,Amazed,Lonely Grill,3qbnxnvUqR14MJ9g8QwZJK,Lonestar,"['contemporary country', 'country', 'country road']",72,57,contemporary country,Other,"['contemporary country', 'country', 'country road']",country
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,3wMUvT6eIw2L5cZFG1yH9j,Country Grammar (Hot Shit),Country Grammar,2gBjLmx6zQnFGQJCAQpRgw,Nelly,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",72,73,dance pop,dance pop,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",dance pop
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,5OQGeJ1ceykovrykZsGhqL,Breathless,In Blue,1VbWUxZTRNY2gw3qZ1tg9W,The Corrs,"['celtic rock', 'europop', 'pop rock']",72,59,celtic rock,Other,"['celtic rock', 'europop', 'pop rock']",pop
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,5p0ietGkLNEqx1Z7ijkw5g,My Love,Coast To Coast (Expanded Edition),5Z1CCuBsyhEHngq3U5IraY,Westlife,['boy band'],72,67,boy band,boy band,['boy band'],other
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,2AW37v0bDyuOzGP3XnmFuA,It's Gonna Be Me,No Strings Attached,6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,"['boy band', 'dance pop', 'pop']",71,65,boy band,boy band,"['boy band', 'dance pop', 'pop']",dance pop
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,2AogRMqARWyUP7VQ3gmSoY,Can't Fight The Moonlight,I Need You,2d3VHzlOEwXvmBdS4pzOPL,LeAnn Rimes,"['contemporary country', 'country', 'country dawn', 'country road']",71,59,contemporary country,Other,"['contemporary country', 'country', 'country dawn', 'country road']",country
